Problem,Method,Level,DOF,Cells,ActiveDOF,ActiveFraction,Halo,TouchedCells,LocalNNZ,L2,H1semi,Energy,Estimator,ResidualReduction,Cycle_s,Cumulative_s
High-contrast interface (1e4),HLRC-r0,1,128,222,47,0.4895833333333333,0,136,193,0.0005872390280109075,0.016504022008722627,0.016516655655609114,0.08709634748677142,0.26022784743841804,0.004881962000013118,0.007106791999945017
High-contrast interface (1e4),HLRC-r0,2,204,364,66,0.4074074074074074,0,211,228,0.0004527202251072064,0.011812370022355436,0.01182907545910588,0.06400866831317818,0.30634197117916684,0.007135432999916702,0.014242224999861719
High-contrast interface (1e4),HLRC-r0,3,349,652,143,0.46885245901639344,0,416,605,0.0003818391556868406,0.009967977084948542,0.009987455552572471,0.04719460972854341,0.5374508631054952,0.01300368600004731,0.02724591099990903
High-contrast interface (1e4),HLRC-r0,4,583,1097,211,0.40891472868217055,0,627,849,0.00035451924162160795,0.007906960659233114,0.007931351364430518,0.035028385358428324,0.48317764275545705,0.02125166899998021,0.04849757999988924
High-contrast interface (1e4),HLRC-r0,5,1101,2124,509,0.49658536585365853,0,1455,2211,0.0003311387289286194,0.006846199001215127,0.006874081145421623,0.02615709595171144,0.6780179160608746,0.044218321000130345,0.09271590100001958
High-contrast interface (1e4),HLRC-r0,6,1850,3597,724,0.41395082904516867,0,2096,3108,0.0003231365106736098,0.005992082883020212,0.0060239050570021066,0.01977709361885613,0.6212572136131866,0.07155986399993708,0.16427576499995666
High-contrast interface (1e4),HLRC-r0,7,3532,6924,1645,0.48467884502062464,0,4794,6797,0.0003173282808741808,0.005445693347002094,0.0054567219504191656,0.014954423512007946,0.7134200105924013,0.13586382500000127,0.30013958999995793
High-contrast interface (1e4),HLRC-r1,0,81,128,49,1.0,1,128,289,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.0,0.0023358440000720293,0.0023358440000720293
High-contrast interface (1e4),HLRC-r1,1,128,222,75,0.78125,1,177,469,0.0005040203680614501,0.015966418255862754,0.015979383738736797,0.08651055091439844,0.03222473418089989,0.006375647000140816,0.008711491000212845
High-contrast interface (1e4),HLRC-r1,2,210,376,126,0.75,1,320,744,0.0003058202883746497,0.010895057951460443,0.010912589900757738,0.06331849548521268,0.039964469550147624,0.009745644999952674,0.01845713600016552
High-contrast interface (1e4),HLRC-r1,3,369,692,264,0.8123076923076923,1,598,1692,0.0001954700931738701,0.007956233604791776,0.007980123588090074,0.04465006486432574,0.053721810051993224,0.017758939000032115,0.036216075000197634
High-contrast interface (1e4),HLRC-r1,4,661,1256,437,0.7319932998324958,1,1004,2785,0.00013479132700243405,0.005721694156442406,0.005754575472353118,0.032654978389655205,0.047056493622117355,0.030681866000008995,0.06689794100020663
High-contrast interface (1e4),HLRC-r1,5,1161,2246,766,0.7046918123275069,1,1703,5036,9.923416607039804e-05,0.004354173523297988,0.004397010307252742,0.024497503488185864,0.054671501477939824,0.056056170000147176,0.1229541110003538
High-contrast interface (1e4),HLRC-r1,6,2051,4007,1376,0.7027579162410623,1,3006,9062,8.705307462821472e-05,0.0031044875589261067,0.003164251660506267,0.01804950871430417,0.05081822626183537,0.14438667600006738,0.2673407870004212
High-contrast interface (1e4),HLRC-r1,7,3888,7640,2777,0.7397442727757059,1,6124,18365,7.787713551506035e-05,0.0023779859510706654,0.0024004405304677173,0.013388248764946417,0.0656121083672714,0.19090556100002232,0.4582463480004435
High-contrast interface (1e4),HLRC-r2,0,81,128,49,1.0,2,128,289,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.0,0.0026926640000510815,0.0026926640000510815
High-contrast interface (1e4),HLRC-r2,1,128,222,85,0.8854166666666666,2,198,537,0.0005350652107906372,0.015954783528856434,0.015967755676697455,0.08629657382870332,0.00021227199490869342,0.006264340999905471,0.008957004999956553
High-contrast interface (1e4),HLRC-r2,2,210,376,157,0.9345238095238095,2,357,985,0.0002769685232133348,0.0108797658321538,0.010897316835635723,0.0634354191526967,0.022306460479679734,0.010215760999926715,0.019172765999883268
High-contrast interface (1e4),HLRC-r2,3,365,684,304,0.9470404984423676,2,662,1992,0.0001469423715927816,0.008058683532582737,0.008082265856612598,0.04522710858656219,0.02673569894805625,0.01909796599989022,0.03827073199977349
High-contrast interface (1e4),HLRC-r2,4,652,1236,499,0.8515358361774744,2,1109,3259,9.103769621639689e-05,0.005700954612430714,0.0057339128922221224,0.033116836298748585,0.016320276399676776,0.03276549600002454,0.07103622799979803
High-contrast interface (1e4),HLRC-r2,5,1149,2222,913,0.8493023255813954,2,1954,6119,5.18888626574122e-05,0.004380717792558078,0.004423286580997051,0.024771177711764118,0.022367770859460262,0.058728632999986985,0.12976486099978501
High-contrast interface (1e4),HLRC-r2,6,2014,3930,1502,0.7831074035453598,2,3191,10104,3.523629540902791e-05,0.0030618116935343348,0.003122379892022156,0.01829317927808213,0.012423801257312529,0.10363053899993702,0.23339539999972203
