Problem,Level,Halo,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Energy,DirectEnergy,ProlongedEnergy,RecoveryFraction,WorkNormalizedRecovery,Solve_s
High-contrast interface (1e4),1,2,128,96,85,0.8854166666666666,198,537,0.015967755676697455,0.01596775503604678,0.02296163949274876,0.9999999248551795,1.1294116798364382,0.0023669099999779064
High-contrast interface (1e4),1,3,128,96,94,0.9791666666666666,217,594,0.015967755070069718,0.01596775503604678,0.02296163949274876,0.9999999960092956,1.0212765916690678,0.004306157000087296
High-contrast interface (1e4),1,999,128,96,96,1.0,222,606,0.015967755036046777,0.01596775503604678,0.02296163949274876,1.0,1.0,0.0029364949999717282
High-contrast interface (1e4),2,0,210,168,72,0.42857142857142855,230,248,0.01122424992370518,0.01088299902282544,0.01596765411333909,0.9447423825447699,2.2043988926044635,0.0019436819999327781
High-contrast interface (1e4),2,1,210,168,126,0.75,320,744,0.010920353084332875,0.01088299902282544,0.01596765411333909,0.9940345289140986,1.3253793718854647,0.003808138000067629
High-contrast interface (1e4),2,2,210,168,157,0.9345238095238095,357,985,0.010897316566708818,0.01088299902282544,0.01596765411333909,0.9977158935600118,1.0676195548922418,0.004142023999975208
High-contrast interface (1e4),2,3,210,168,168,1.0,376,1078,0.01088299902282544,0.01088299902282544,0.01596765411333909,1.0,1.0,0.0044022790000326495
High-contrast interface (1e4),2,999,210,168,168,1.0,376,1078,0.01088299902282544,0.01088299902282544,0.01596765411333909,1.0,1.0,0.004736894999950891
High-contrast interface (1e4),3,0,365,321,153,0.4766355140186916,446,633,0.008273796567603397,0.008077787513642432,0.01088299982230974,0.9397421181683117,1.9716158165492028,0.0037499520000210396
High-contrast interface (1e4),3,1,365,321,259,0.8068535825545171,588,1663,0.008090841860793558,0.008077787513642432,0.01088299982230974,0.9960316838853481,1.2344639788694856,0.006886022999992747
High-contrast interface (1e4),3,2,365,321,304,0.9470404984423676,662,1994,0.008079875390496587,0.008077787513642432,0.01088299982230974,0.9993657487672344,1.0552513334022442,0.008257686999968428
High-contrast interface (1e4),3,3,365,321,320,0.9968847352024922,684,2132,0.008077787527474503,0.008077787513642432,0.01088299982230974,0.9999999957986629,1.0031249957855337,0.008852380000007543
High-contrast interface (1e4),3,999,365,321,321,1.0,684,2139,0.008077787513642432,0.008077787513642432,0.01088299982230974,1.0,1.0,0.008421230000067226
High-contrast interface (1e4),4,0,651,585,264,0.4512820512820513,786,1082,0.00587387341965742,0.005740449922439949,0.008077784083287565,0.9520208131727481,2.1095915746441576,0.006423637000011695
High-contrast interface (1e4),4,1,651,585,422,0.7213675213675214,975,2684,0.00574893602532275,0.005740449922439949,0.008077784083287565,0.9969812179315706,1.3820711196444757,0.011240451000048779
High-contrast interface (1e4),4,2,651,585,498,0.8512820512820513,1105,3254,0.00574413405252118,0.005740449922439949,0.008077784083287565,0.9986899831725754,1.1731599199918807,0.013207919000024049
High-contrast interface (1e4),4,3,651,585,551,0.9418803418803419,1194,3647,0.005742647360632307,0.005740449922439949,0.008077784083287565,0.999218727814338,1.0608765077520648,0.01425801700008833
High-contrast interface (1e4),4,999,651,585,585,1.0,1234,3943,0.005740449922439949,0.005740449922439949,0.008077784083287565,1.0,1.0,0.015454962000035266
